"V1","V2"
"71","111"
"71","120"
"72","73"
"72","74"
"72","82"
"72","136"
"73","74"
"73","82"
"73","122"
"73","131"
"73","136"
"74","82"
"74","136"
"76","80"
"76","90"
"76","91"
"76","125"
"76","127"
"80","90"
"80","91"
"80","127"
"82","122"
"82","131"
"82","136"
"83","110"
"83","125"
"83","127"
"90","91"
"95","114"
"95","133"
"96","98"
"96","132"
"96","134"
"96","137"
"98","132"
"98","134"
"98","137"
"103","111"
"105","114"
"105","133"
"110","125"
"110","127"
"112","118"
"112","124"
"112","130"
"113","140"
"114","133"
"118","124"
"118","130"
"122","131"
"132","134"
"134","137"
